year,okrug,region_code,admin_type,macro_region_code,chitalishta_total,chitalishta_cities,chitalishta_villages,members_total,members_avg_per_chitalishte,members_cities,members_villages,members_avg_per_chitalishte_cities,members_avg_per_chitalishte_villages
1980,НРБ,BG,national,BG,4256,512,3744,1087146,255,488567,598579,954.0,160.0
1980,Гр. София,SOF,okrug28,SOF,120,85,35,113788,948,103620,10168,1219.0,291.0
1980,Благоевград,BLG,okrug28,BLG,193,12,181,34468,179,10988,23480,916.0,130.0
1980,Бургас,BGS,okrug28,BGS,231,21,210,56901,246,30670,26231,1460.0,125.0
1980,Варна,VAR,okrug28,VAR,170,24,146,54836,323,23739,31097,989.0,213.0
1980,Велико Търново,VTR,okrug28,VTR,177,23,154,45834,259,16933,28901,736.0,188.0
1980,Видин,VID,okrug28,VID,129,7,122,16103,125,3662,12441,523.0,102.0
1980,Враца,VRC,okrug28,VRC,118,9,109,39098,331,11909,27189,1323.0,249.0
1980,Габрово,GAB,okrug28,GAB,100,24,76,16554,166,8643,7911,360.0,104.0
1980,Кърджали,KRZ,okrug28,KRZ,218,10,208,37062,170,8800,28262,880.0,136.0
1980,Кюстендил,KNL,okrug28,KNL,173,15,158,22487,130,5802,16685,387.0,106.0
1980,Ловеч,LOV,okrug28,LOV,118,21,97,22385,190,8302,14083,395.0,145.0
1980,Монтана,MON,okrug28,MON,135,13,122,27266,202,7953,19313,612.0,158.0
1980,Пазарджик,PAZ,okrug28,PAZ,106,17,89,41234,389,19927,21307,1172.0,239.0
1980,Перник,PER,okrug28,PER,164,15,149,12610,77,4526,8084,302.0,54.0
1980,Плевен,PVN,okrug28,PVN,121,18,103,50130,414,23757,26373,1320.0,256.0
1980,Пловдив,PDV,okrug28,PDV,218,41,177,104133,478,49985,54148,1219.0,306.0
1980,Разград,RAZ,okrug28,RAZ,108,10,98,18215,169,4970,13245,497.0,135.0
1980,Русе,RSE,okrug28,RSE,84,12,72,32552,388,13929,18623,1161.0,259.0
1980,Силистра,SLS,okrug28,SLS,118,7,111,29907,253,7476,22431,1068.0,202.0
1980,Сливен,SLV,okrug28,SLV,107,16,91,34155,319,12865,21290,804.0,234.0
1980,Смолян,SML,okrug28,SML,126,9,117,23352,185,7626,15726,847.0,134.0
1980,София,SFO,okrug28,SFO,214,22,192,46533,217,24498,22035,1114.0,115.0
1980,Стара Загора,SZR,okrug28,SZR,196,12,184,43979,224,15130,28849,1261.0,157.0
1980,Добрич,DOB,okrug28,DOB,150,7,143,28564,190,5801,22763,829.0,159.0
1980,Търговище,TGV,okrug28,TGV,181,11,170,31106,172,9518,21588,865.0,127.0
1980,Хасково,HKV,okrug28,HKV,185,21,164,32196,174,14926,17270,711.0,105.0
1980,Шумен,SHU,okrug28,SHU,161,20,141,39910,248,21459,18451,1073.0,131.0
1980,Ямбол,JAM,okrug28,JAM,135,10,125,31788,235,11153,20635,1115.0,165.0
1981,НРБ,BG,national,BG,4260,521,3739,1077605,253,479276,598329,920.0,160.0
1981,Гр. София,SOF,okrug28,SOF,121,86,35,98226,812,88086,10140,1024.0,290.0
1981,Благоевград,BLG,okrug28,BLG,190,12,178,38872,205,15637,23235,1303.0,131.0
1981,Бургас,BGS,okrug28,BGS,231,23,208,65146,282,32225,32921,1401.0,158.0
1981,Варна,VAR,okrug28,VAR,170,25,145,56235,331,25731,30504,1029.0,210.0
1981,Велико Търново,VTR,okrug28,VTR,174,22,152,45702,263,16343,29359,743.0,193.0
1981,Видин,VID,okrug28,VID,129,7,122,16239,126,3897,12342,557.0,101.0
1981,Враца,VRC,okrug28,VRC,118,11,107,37707,320,12802,24905,1164.0,233.0
1981,Габрово,GAB,okrug28,GAB,98,23,75,15951,163,8204,7747,357.0,103.0
1981,Кърджали,KRZ,okrug28,KRZ,221,10,211,42206,191,11394,30812,1139.0,146.0
1981,Кюстендил,KNL,okrug28,KNL,173,16,157,20426,118,6012,14414,376.0,92.0
1981,Ловеч,LOV,okrug28,LOV,118,21,97,21919,186,8045,13874,383.0,143.0
1981,Монтана,MON,okrug28,MON,135,13,122,27494,204,7625,19869,587.0,163.0
1981,Пазарджик,PAZ,okrug28,PAZ,106,17,89,40375,381,18832,21543,1108.0,242.0
1981,Перник,PER,okrug28,PER,166,15,151,12376,75,3824,8552,255.0,57.0
1981,Плевен,PVN,okrug28,PVN,121,18,103,50784,420,24594,26190,1366.0,254.0
1981,Пловдив,PDV,okrug28,PDV,218,41,177,107056,491,52174,54882,1273.0,310.0
1981,Разград,RAZ,okrug28,RAZ,108,11,97,17689,164,5522,12167,502.0,125.0
1981,Русе,RSE,okrug28,RSE,84,12,72,33196,395,13907,19289,1159.0,268.0
1981,Силистра,SLS,okrug28,SLS,118,7,111,30363,257,7520,22843,1074.0,206.0
1981,Сливен,SLV,okrug28,SLV,107,16,91,34177,319,13104,21073,819.0,232.0
1981,Смолян,SML,okrug28,SML,126,9,117,23101,183,7816,15285,868.0,131.0
1981,София,SFO,okrug28,SFO,214,23,191,47373,221,25996,21377,1130.0,112.0
1981,Стара Загора,SZR,okrug28,SZR,195,12,183,44126,226,15318,28808,1277.0,157.0
1981,Добрич,DOB,okrug28,DOB,156,7,149,26543,170,5637,20906,805.0,140.0
1981,Търговище,TGV,okrug28,TGV,181,11,170,32155,178,10297,21858,936.0,129.0
